"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"FLEX8";"FLEX8";"FLEX8";"K1";"WR-FPC 1mm SMT Horiz. Bot. Contact Hinge type WR-FPC 1mm 08 pins Hinge type SMT Horizontal Bottom Contact";"";
"1";"PJA3416AE_R1_00001";"PJA3416AE_R1_00001";"SOT23_PJA3416_PNJ";"Q1";"";"";
"2";"S1761-42R";"S1761-42R";"S176142R";"H1, H2";"EZ_Boardware SMT Spring Contact 3.5mm";"";
"1";"SM2T18A";"SM2T18A";"SM2T18A";"D1";"200 W TVS in STmite";"";
"11";"TPB2,54";"TPB2,54";"B2,54";"!RESET, GND, SWCLK, SWDIO, TXO, VBUS, VCC, VOUT+, VOUT+1, VOUT-, VOUT-1";"Test pad";"";
